iter	Passed	Remaining
0	55	55644
1	56	27955
2	56	18727
3	56	14152
4	57	11371
5	57	9557
6	58	8248
7	58	7261
8	58	6492
9	59	5889
10	59	5388
11	60	4970
12	60	4607
13	61	4302
14	61	4037
15	62	3843
16	62	3633
17	63	3453
18	63	3287
19	64	3147
20	64	3011
21	65	2893
22	65	2784
23	65	2677
24	66	2582
25	66	2490
26	66	2406
27	67	2329
28	67	2257
29	67	2194
30	68	2132
31	68	2078
32	69	2022
33	69	1970
34	69	1922
35	70	1879
36	70	1834
37	70	1792
38	71	1754
39	71	1720
40	72	1687
41	72	1655
42	73	1624
43	73	1593
44	73	1562
45	74	1536
46	74	1508
47	75	1489
48	76	1476
49	76	1453
50	76	1431
51	77	1409
52	77	1386
53	77	1365
54	78	1346
55	78	1328
56	79	1309
57	79	1291
58	79	1272
59	80	1254
60	80	1242
61	81	1226
62	81	1210
63	81	1195
64	82	1180
65	82	1169
66	83	1158
67	83	1147
68	84	1135
69	84	1123
70	84	1110
71	85	1099
72	85	1088
73	86	1076
74	86	1067
75	86	1057
76	87	1048
77	87	1039
78	88	1029
79	88	1019
80	88	1008
81	89	999
82	89	988
83	89	978
84	90	969
85	90	961
86	90	953
87	91	945
88	91	936
89	91	929
90	92	922
91	92	915
92	93	909
93	93	902
94	94	895
95	94	889
96	94	882
97	95	878
98	95	873
99	96	867
100	96	861
101	97	855
102	97	849
103	97	844
104	98	838
105	98	833
106	99	828
107	99	823
108	100	823
109	101	817
110	101	812
111	101	807
112	102	802
113	102	797
114	102	792
115	103	788
116	103	783
117	104	779
118	104	775
119	105	771
120	105	766
121	105	760
122	106	755
123	106	750
124	106	747
125	107	743
126	107	738
127	107	733
128	108	729
129	108	725
130	108	720
131	108	716
132	109	712
133	109	709
134	110	705
135	110	701
136	110	698
137	111	695
138	111	692
139	112	689
140	112	685
141	112	681
142	113	677
143	113	674
144	113	672
145	114	668
146	114	665
147	114	661
148	115	658
149	115	655
150	116	652
151	116	650
152	116	647
153	117	644
154	117	641
155	118	638
156	118	635
157	118	632
158	118	629
159	119	627
160	119	623
161	120	621
162	120	619
163	121	617
164	121	614
165	121	611
166	122	609
167	122	607
168	122	604
169	123	602
170	123	599
171	123	596
172	124	594
173	124	592
174	125	590
175	125	587
176	125	585
177	126	582
178	126	580
179	126	577
180	127	575
181	127	572
182	127	570
183	128	568
184	128	566
185	128	564
186	129	562
187	129	559
188	129	557
189	130	555
190	130	552
191	130	550
192	131	548
193	131	546
194	132	545
195	132	543
196	132	541
197	133	540
198	133	538
199	134	536
200	134	534
201	134	533
202	135	531
203	135	529
204	136	527
205	136	525
206	136	523
207	137	521
208	137	519
209	137	517
210	138	516
211	138	514
212	138	513
213	139	511
214	139	509
215	139	507
216	139	505
217	140	503
218	140	501
219	140	499
220	141	498
221	141	496
222	141	494
223	142	493
224	142	491
225	143	489
226	143	488
227	143	486
228	144	485
229	144	484
230	145	483
231	145	482
232	146	481
233	146	480
234	147	478
235	147	477
236	147	476
237	148	474
238	148	473
239	148	471
240	149	470
241	149	468
242	149	467
243	150	465
244	150	464
245	151	462
246	151	461
247	151	460
248	152	458
249	152	457
250	152	456
251	153	455
252	153	453
253	154	452
254	154	451
255	154	449
256	155	448
257	155	447
258	155	446
259	156	445
260	156	444
261	157	442
262	157	441
263	157	439
264	158	438
265	158	436
266	158	435
267	159	434
268	159	433
269	159	432
270	160	431
271	160	429
272	160	428
273	161	426
274	161	425
275	161	424
276	162	423
277	162	421
278	162	420
279	163	419
280	163	418
281	163	416
282	164	415
283	164	414
284	164	413
285	165	412
286	165	411
287	166	410
288	166	409
289	166	408
290	167	407
291	167	406
292	168	405
293	168	404
294	168	403
295	169	402
296	169	400
297	169	399
298	169	398
299	170	397
300	170	396
301	170	394
302	171	393
303	171	393
304	172	392
305	172	391
306	172	390
307	173	389
308	173	387
309	173	386
310	174	385
311	174	384
312	174	384
313	175	383
314	175	382
315	176	381
316	176	380
317	176	379
318	177	378
319	177	377
320	177	376
321	178	375
322	178	374
323	178	373
324	179	371
325	179	370
326	179	369
327	179	368
328	180	367
329	180	366
330	180	365
331	180	363
332	181	362
333	181	361
334	181	360
335	181	359
336	182	358
337	182	357
338	182	356
339	183	355
340	183	354
341	183	353
342	183	352
343	184	351
344	184	350
345	184	349
346	184	348
347	185	347
348	185	346
349	185	345
350	186	344
351	186	343
352	186	342
353	187	341
354	187	340
355	187	339
356	188	338
357	188	337
358	188	337
359	189	337
360	190	336
361	190	336
362	190	335
363	191	334
364	191	333
365	191	332
366	192	331
367	192	330
368	192	329
369	192	328
370	193	327
371	193	326
372	193	325
373	194	324
374	194	323
375	194	322
376	194	322
377	195	321
378	195	320
379	195	319
380	195	318
381	196	317
382	196	316
383	196	315
384	197	314
385	197	313
386	197	312
387	197	311
388	198	311
389	198	310
390	198	309
391	198	308
392	199	307
393	199	306
394	199	306
395	200	305
396	200	304
397	200	303
398	200	302
399	201	301
400	201	300
401	201	300
402	202	299
403	202	298
404	202	297
405	202	296
406	203	296
407	203	295
408	203	294
409	204	293
410	204	293
411	204	292
412	205	291
413	205	291
414	206	290
415	206	289
416	206	289
417	207	288
418	207	287
419	207	286
420	208	286
421	208	285
422	208	284
423	208	283
424	209	283
425	209	282
426	209	281
427	210	280
428	210	280
429	210	279
430	211	278
431	211	278
432	211	277
433	212	276
434	212	276
435	212	275
436	213	274
437	213	273
438	213	272
439	213	272
440	214	271
441	214	270
442	214	269
443	214	269
444	215	268
445	215	267
446	215	266
447	216	266
448	216	265
449	216	264
450	216	264
451	217	263
452	217	262
453	217	261
454	217	261
455	218	260
456	218	259
457	218	258
458	219	258
459	219	257
460	219	257
461	220	256
462	220	255
463	221	255
464	221	254
465	221	254
466	222	253
467	222	252
468	222	252
469	223	251
470	223	250
471	223	250
472	223	249
473	224	248
474	224	247
475	224	247
476	224	246
477	225	245
478	225	245
479	225	244
480	226	243
481	226	243
482	226	242
483	226	241
484	227	241
485	227	240
486	227	239
487	227	239
488	228	238
489	228	237
490	228	236
491	228	236
492	229	235
493	229	234
494	229	234
495	229	233
496	230	232
497	230	232
498	230	231
499	231	231
500	231	230
